loaded in time vals
Using two part PSO Sample Size:5000 with:14 moments.
Using Times:60
Bounds for Uniform Distribution (0,1)
Blind PSO --> nParts:25 Nsteps:50
Targeted PSO --> nParts:10 Nsteps:1000
sdbeta:0.1
Reading in data!
first row X0:34.33 25.79  -0.1 10.03
final row X0: 4.49 24.56  -0.1  2.87



Here?
rate:       0.78        0.19        0.06        0.61           0           0 3.77166e+07
rate:       0.78        0.19        0.06        0.61           0        0.02 1.41668e+07
rate:       0.78        0.19        0.06        0.61           0        0.04 6.55212e+06
rate:       0.78        0.19        0.06        0.61           0        0.06 3.53206e+06
rate:      0.78       0.19       0.06       0.61          0       0.08 2.1338e+06
rate:       0.78        0.19        0.06        0.61           0         0.1 1.40495e+06
rate:  0.78   0.19   0.06   0.61      0   0.12 988358
rate:  0.78   0.19   0.06   0.61      0   0.14 732272
rate:  0.78   0.19   0.06   0.61      0   0.16 565387
rate:  0.78   0.19   0.06   0.61      0   0.18 451335
rate:  0.78   0.19   0.06   0.61      0    0.2 370270
rate:  0.78   0.19   0.06   0.61      0   0.22 310728
rate:  0.78   0.19   0.06   0.61      0   0.24 265764
rate:  0.78   0.19   0.06   0.61      0   0.26 230995
rate:  0.78   0.19   0.06   0.61      0   0.28 203554
rate:  0.78   0.19   0.06   0.61      0    0.3 181508
rate:  0.78   0.19   0.06   0.61      0   0.32 163520
rate:  0.78   0.19   0.06   0.61      0   0.34 148639
rate:  0.78   0.19   0.06   0.61      0   0.36 136179
rate:  0.78   0.19   0.06   0.61      0   0.38 125631
rate:  0.78   0.19   0.06   0.61      0    0.4 116616
rate:  0.78   0.19   0.06   0.61      0   0.42 108842
rate:  0.78   0.19   0.06   0.61      0   0.44 102086
rate:   0.78    0.19    0.06    0.61       0    0.46 96172.1
rate:   0.78    0.19    0.06    0.61       0    0.48 90960.8
rate:   0.78    0.19    0.06    0.61       0     0.5 86341.3
rate:   0.78    0.19    0.06    0.61       0    0.52 82223.8
rate: 0.78  0.19  0.06  0.61     0  0.54 78535
rate:   0.78    0.19    0.06    0.61       0    0.56 75214.9
rate:   0.78    0.19    0.06    0.61       0    0.58 72213.7
rate:   0.78    0.19    0.06    0.61       0     0.6 69489.8
rate:   0.78    0.19    0.06    0.61       0    0.62 67008.4
rate: 0.78  0.19  0.06  0.61     0  0.64 64740
rate:   0.78    0.19    0.06    0.61       0    0.66 62659.6
rate:   0.78    0.19    0.06    0.61       0    0.68 60745.8
rate:   0.78    0.19    0.06    0.61       0     0.7 58980.2
rate:   0.78    0.19    0.06    0.61       0    0.72 57347.1
rate:   0.78    0.19    0.06    0.61       0    0.74 55832.6
rate:   0.78    0.19    0.06    0.61       0    0.76 54424.9
rate:   0.78    0.19    0.06    0.61       0    0.78 53113.5
rate:   0.78    0.19    0.06    0.61       0     0.8 51889.1
rate:   0.78    0.19    0.06    0.61       0    0.82 50743.8
rate:   0.78    0.19    0.06    0.61       0    0.84 49670.4
rate:   0.78    0.19    0.06    0.61       0    0.86 48662.6
rate:   0.78    0.19    0.06    0.61       0    0.88 47714.8
rate: 0.78  0.19  0.06  0.61     0   0.9 46822
rate:   0.78    0.19    0.06    0.61       0    0.92 45979.6
rate:   0.78    0.19    0.06    0.61       0    0.94 45183.7
rate:   0.78    0.19    0.06    0.61       0    0.96 44430.6
rate:   0.78    0.19    0.06    0.61       0    0.98 43717.1
rate:       0.78        0.19        0.06        0.61        0.02           0 1.80164e+06
rate:  0.78   0.19   0.06   0.61   0.02   0.02 526093
rate:  0.78   0.19   0.06   0.61   0.02   0.04 200664
rate:   0.78    0.19    0.06    0.61    0.02    0.06 93270.9
rate:   0.78    0.19    0.06    0.61    0.02    0.08 50176.8
rate: 0.78  0.19  0.06  0.61  0.02   0.1 30111
rate:   0.78    0.19    0.06    0.61    0.02    0.12 19635.6
rate:   0.78    0.19    0.06    0.61    0.02    0.14 13656.2
rate:   0.78    0.19    0.06    0.61    0.02    0.16 9992.71
rate:   0.78    0.19    0.06    0.61    0.02    0.18 7616.31
rate:   0.78    0.19    0.06    0.61    0.02     0.2 6001.14
rate:   0.78    0.19    0.06    0.61    0.02    0.22 4860.01
rate:   0.78    0.19    0.06    0.61    0.02    0.24 4027.15
rate:   0.78    0.19    0.06    0.61    0.02    0.26 3402.28
rate:   0.78    0.19    0.06    0.61    0.02    0.28 2922.22
rate:   0.78    0.19    0.06    0.61    0.02     0.3 2545.78
rate:   0.78    0.19    0.06    0.61    0.02    0.32 2245.27
rate:  0.78   0.19   0.06   0.61   0.02   0.34 2001.6
rate:   0.78    0.19    0.06    0.61    0.02    0.36 1801.24
rate:   0.78    0.19    0.06    0.61    0.02    0.38 1634.45
