NKG2D(),CD45(),pErk(),CD107a()
8.131,60.8444,0.761799,13.4228
3.67831,43.729,0.547604,17.7951
15.4392,33.6775,0.42131,9.872
13.5517,44.7506,0.56005,10.0477
0.435589,32.2589,0.404024,35.2915
2.31346,33.3268,0.417328,5.78242
8.11164,15.2153,0.190306,3.65271
12.6611,39.038,0.488557,20.8323
4.23006,78.8684,0.987667,15.9639
13.0193,51.841,0.648878,12.6208
8.25684,16.7696,0.209772,5.63383
18.7981,61.0341,0.763817,9.89397
9.36033,127.822,1.60062,22.0971
0.0967976,77.8085,0.97453,16.6702
13.2129,42.6682,0.533982,9.94497
2.84585,9.68549,0.12122,3.99743
11.7125,42.4082,0.530761,8.32857
11.6157,30.2296,0.378249,11.0864
13.7549,47.1372,0.589926,8.32797
22.6797,71.9158,0.900004,21.3745
7.63733,35.7931,0.448048,6.3815
5.42067,19.1829,0.240084,6.88637
3.204,36.2909,0.454432,8.15064
9.20546,55.9197,0.700075,11.3048
11.1317,61.2959,0.767393,23.705
6.51448,44.4494,0.556519,12.9596
12.0513,59.0208,0.738864,22.079
19.6499,63.0809,0.789426,10.9798
10.1831,9.30232,0.116177,2.3884
2.92329,15.0992,0.189019,4.32846
9.96048,22.3102,0.27912,8.76023
2.45866,45.2671,0.566874,7.8474
5.0238,46.5872,0.58333,9.8057
13.9679,27.1165,0.339169,5.30644
6.81455,43.6452,0.546431,11.4038
6.77584,30.7835,0.385331,7.17536
0.580786,26.989,0.338006,5.87221
5.75946,126.093,1.57909,22.828
7.91805,27.9843,0.350249,9.25736
3.79447,48.7329,0.610235,7.6624
12.6031,52.1451,0.652687,9.40919
20.7534,96.1309,1.20333,16.3624
11.4705,66.6149,0.833965,14.6506
22.7087,15.7138,0.196086,7.21136
0.590466,60.3565,0.755922,9.79708
4.88828,32.9262,0.412238,8.37331
0.880859,31.5619,0.395272,6.11198
5.65298,26.3823,0.330253,6.81445
7.2695,41.2874,0.516871,7.97623
9.03122,53.3371,0.667742,11.6739
4.03646,32.5833,0.407978,11.2223
4.29782,39.3127,0.492273,16.2072
13.087,53.5898,0.670777,12.5024
14.6261,37.1203,0.464445,7.21915
6.82423,14.8334,0.185563,3.64679
9.50553,65.3817,0.818574,11.6442
16.0103,19.6614,0.245734,4.50257
9.24417,6.21682,0.0775902,9.79142
15.4005,35.9624,0.449914,6.51717
3.62023,81.2643,1.01768,14.0778
3.00073,50.4039,0.631247,26.5441
32.495,36.6401,0.457855,8.92704
2.31346,7.04913,0.088213,2.1392
9.38937,97.4696,1.22047,21.2706
5.70138,53.4834,0.669677,9.9855
6.73712,44.0538,0.551573,20.0075
7.5599,197.721,2.47613,34.7732
13.6872,38.8725,0.486428,9.37391
6.77584,90.7537,1.13645,19.214
15.1972,20.2101,0.252635,4.91
13.8421,54.4092,0.681015,12.3877
12.4579,42.4481,0.531252,10.4528
24.0736,40.3722,0.504868,8.68934
2.41026,99.2337,1.24279,20.4733
1.53908,44.4255,0.556376,11.1991
6.76616,27.6579,0.346185,5.08971
16.5137,58.5068,0.732239,10.4273
8.48915,37.9341,0.474833,20.0819
4.58821,23.9009,0.299213,8.05169
2.64258,112.529,1.40933,26.9086
28.6037,94.0681,1.17726,21.371
1.05509,7.49007,0.0937763,1.76106
0.00967976,26.1923,0.328054,6.86993
22.4764,29.0981,0.363726,9.02173
1.26805,29.2534,0.36635,6.55223
5.19803,19.6384,0.245819,10.2277
1.17125,52.6426,0.65929,8.91689
0.997016,28.5344,0.357371,10.9612
4.86892,38.0201,0.476062,18.6849
9.34097,50.992,0.638356,9.81868
9.56361,58.2596,0.729378,12.7774
5.40131,68.21,0.854128,17.0646
2.06179,21.9569,0.274941,5.83635
1.39389,13.1344,0.164469,5.57721
3.80415,23.4316,0.293351,5.02087
6.39832,46.4152,0.581125,7.99534
0.764701,16.4801,0.206407,9.93875
0.629185,46.3412,0.580393,10.0292
7.37598,34.3124,0.429511,11.6621
12.1191,32.711,0.409303,7.03066
5.86594,42.1777,0.528068,8.8983
5.04316,22.8017,0.285419,4.0697
23.7154,57.7684,0.72276,11.0734
5.71106,48.6546,0.609197,9.11514
6.56288,20.3138,0.254215,5.12907
5.44971,31.5991,0.395587,5.82562
7.35662,39.5348,0.494937,11.7236
17.4913,45.385,0.567863,8.29577
0.0387191,25.6966,0.321844,5.46283
6.77584,55.4172,0.693858,10.0031
31.1592,94.0094,1.17643,19.115
4.91732,21.7105,0.27177,8.55045
3.3976,30.2348,0.37885,84.6688
4.36557,43.339,0.542684,13.6627
7.53086,36.7916,0.460565,8.77694
19.4854,19.04,0.237844,6.41678
0.106477,37.3862,0.468254,8.55906
5.8369,39.7023,0.497088,12.9437
8.52787,16.4782,0.206111,4.19783
5.50779,50.318,0.630032,8.34416
0.755022,2.82299,0.0354195,25.9766
10.9478,25.4571,0.318485,7.42661
6.95007,29.7271,0.372092,8.70075
11.4899,45.2868,0.56683,9.05646
0.571106,45.3891,0.568514,22.1113
0.0871179,52.4467,0.656873,10.7793
0,50.0294,0.626624,15.9939
8.49883,32.0007,0.400545,13.3799
5.27547,15.9847,0.200031,4.6098
5.33355,32.4175,0.405849,6.47309
6.53384,29.5688,0.370132,7.84725
9.43777,42.0474,0.52633,9.88854
23.2314,75.4432,0.944147,14.4912
6.34993,9.64727,0.120622,6.12219
11.1317,19.5376,0.244345,5.53631
13.1645,83.0122,1.03928,16.9341
5.16899,28.9019,0.361933,41.1871
4.56885,66.3007,0.830467,75.6899
8.86666,42.1583,0.527737,9.1173
13.7937,41.3931,0.517991,9.94529
4.23006,25.7565,0.322455,5.07099
3.71703,61.4969,0.77011,12.566
3.48472,75.061,0.940005,15.9143
3.79447,39.7767,0.498065,7.25072
9.9508,12.8571,0.16071,3.89138
16.746,29.325,0.36675,7.95222
0.212955,27.089,0.339287,9.16872
4.8302,79.2892,0.992919,16.0177
3.23304,33.492,0.419375,7.96563
7.95677,40.0155,0.500929,9.49676
22.912,32.211,0.402703,11.1743
7.2695,20.4211,0.255534,5.06386
18.6819,61.6642,0.771767,25.6121
13.4549,19.8828,0.248616,16.8437
5.06252,33.9247,0.424747,10.758
10.5703,28.2454,0.353437,9.67087
9.81528,54.1746,0.678203,11.802
3.3008,29.3071,0.366982,13.1451
7.04687,50.1169,0.627466,8.8488
2.80713,47.4611,0.594344,9.5974
4.99476,22.6376,0.283376,7.85431
7.55022,55.5265,0.695238,19.808
9.56361,33.5917,0.420424,9.90429
7.11463,45.1357,0.565075,7.98461
16.1652,33.5028,0.419103,12.4329
44.7979,83.9554,1.05005,13.9666
9.0893,23.3709,0.292415,4.29739
0.0967976,25.9895,0.325515,8.66818
0.638864,22.5641,0.282586,4.98448
4.23006,46.0149,0.576182,8.76889
17.3558,104.906,1.31337,26.7449
12.8838,10.7208,0.13387,6.68161
3.27176,47.8178,0.598802,10.7916
5.71106,25.5536,0.319878,9.53551
1.50036,71.327,0.893298,12.9993
4.50109,31.2532,0.391292,6.84439
10.4445,36.2815,0.45408,8.28993
8.63435,95.4086,1.19469,19.0823
16.2814,43.2502,0.54117,9.20726
13.3484,72.2636,0.904652,16.5234
2.04243,24.9788,0.312784,4.77597
20.3469,31.8499,0.398253,7.72499
3.69767,19.1472,0.239709,8.55539
4.17198,16.0194,0.200516,7.51811
6.17569,23.6841,0.296433,6.0238
0.377511,53.3032,0.667587,9.05166
9.10866,29.6048,0.370493,5.05601
17.1332,50.9824,0.637974,10.4765
3.40728,57.8827,0.724851,11.6952
1.8198,76.8167,0.962034,12.5415
8.97314,23.804,0.297856,8.20498
31.9045,38.3088,0.478792,14.1979
3.57183,20.325,0.254453,6.12875
6.57256,39.408,0.493354,6.95605
10.7736,103.976,1.30193,22.358
2.73937,65.7567,0.823493,13.1705
11.0156,30.5109,0.381798,11.4417
0.232314,35.0183,0.438583,6.30079
0.774381,61.2783,0.767478,14.0998
3.02977,19.0069,0.237962,5.54538
7.62765,54.998,0.688596,13.8957
12.0319,69.0124,0.863974,16.4617
12.2159,63.1871,0.790996,10.826
10.0282,34.0255,0.425827,8.28048
2.78777,48.5993,0.608603,10.1943
1.36485,38.5379,0.482627,8.04467
9.67976,34.9138,0.436968,5.84944
17.7333,53.3126,0.667138,9.78697
3.95902,19.1295,0.239467,5.00196
8.69243,120.703,1.51148,21.9927
21.8472,28.0343,0.350409,5.8381
4.22038,20.3705,0.255002,5.7741
3.05881,51.4503,0.644301,10.1466
5.8853,44.5072,0.557245,7.59022
1.71332,24.7119,0.309464,13.1953
11.3447,71.1148,0.89035,20.5602
11.8384,34.4662,0.431294,6.77415
0.629185,59.9382,0.750684,62.752
2.91361,56.6688,0.709678,14.6679
1.16157,42.3076,0.529865,11.881
8.46979,29.1315,0.364593,7.34415
5.70138,54.3996,0.681183,20.2278
8.76019,48.9364,0.612639,12.1508
15.0811,53.5481,0.670193,14.4706
1.89723,35.4803,0.444319,7.33815
4.31717,61.4896,0.769993,10.2032
19.224,32.9115,0.411593,9.80292
2.46834,61.8097,0.77406,10.9179
0.0677584,26.665,0.333974,6.66323
6.93071,88.6436,1.11,15.0757
2.98137,41.0619,0.514193,9.47257
2.03275,64.0482,0.80213,17.8969
0.82278,57.4182,0.719118,10.4399
9.63137,28.1738,0.352563,8.77225
14.781,86.2554,1.07983,14.0937
12.7966,78.9766,0.988757,19.5479
0.212955,45.5665,0.570721,14.9599
4.68501,75.2947,0.942899,16.8174
6.4564,59.5344,0.745437,11.3037
3.61055,46.9292,0.587652,8.02261
0.280713,16.2513,0.203535,3.55449
7.25982,36.3724,0.455342,14.3625
2.54578,28.8644,0.361437,6.31839
2.52642,37.3319,0.46749,7.36419
2.24571,39.2926,0.492057,8.74961
5.89498,38.2314,0.47865,9.055
0.667904,49.5019,0.620001,17.3602
10.9672,43.0703,0.539093,10.4134
7.52118,69.1996,0.866456,12.7228
13.029,29.4852,0.36891,17.637
9.2345,43.6337,0.546204,9.85558
7.58894,53.781,0.673348,11.2067
22.6119,85.0911,1.06499,15.762
11.8964,74.959,0.938462,17.1461
6.5048,116.441,1.4582,29.8261
19.9984,59.2557,0.741502,9.86444
4.14294,37.6554,0.471546,23.8801
7.79221,32.099,0.401803,14.627
5.34323,62.1889,0.778729,14.0892
14.055,68.8518,0.861897,15.5413
15.1972,33.4217,0.418118,11.9829
3.49439,42.9698,0.538068,7.47769
5.11092,42.2488,0.528993,10.5913
12.1675,44.6654,0.559044,14.3781
1.20029,17.2213,0.215691,14.4427
3.3492,76.0073,0.951867,18.9717
0.232314,22.74,0.285239,127.542
8.47947,52.6438,0.659098,17.5776
9.41841,34.4092,0.430657,6.60173
16.233,35.0118,0.437991,16.6572
8.70211,52.7106,0.659896,9.18743
13.329,54.4277,0.681254,9.26196
7.16303,37.628,0.471058,10.3579
19.6112,61.4614,0.769163,17.3882
0.667904,56.9939,0.713814,12.1944
17.7914,45.0689,0.563893,8.77585
