k1,k2,k3,cost
0.422893,0.0580887,0.233612,3.61753
0.659715,0.402741,0.00417512,4.41683
0.701463,0.0091913,0.303345,1.52752
0.000660823,0.474142,0.651032,3.33543
0.00116324,0.361027,0.372607,3.33451
0.47938,0.00941668,0.536975,1.53063
0.00273316,0.695583,0.0287255,3.04076
0.694352,0.00992159,0.130736,1.51777
0.76267,0.0259757,0.302818,2.09965
0.00101711,0.00485055,0.392132,0.015234
0.00082731,0.401341,0.468014,3.33495
0.0754566,0.0449273,0.43757,2.72605
0.49181,0.0092685,0.234826,1.5253
0.414518,0.00950152,0.410195,1.52932
0.035553,0.403045,0.153069,4.04192
0.0793083,0.756874,0.86445,4.7239
0.000493619,0.658754,0.742792,3.33589
0.00202495,0.00573115,0.930121,0.0199271
0.222866,0.857878,0.00382062,4.41413
0.642015,0.00996875,0.0959811,1.51189
0.00204307,0.457353,0.00490316,2.92188
0.00231642,0.621917,0.481894,3.34136
0.00502149,0.458429,0.0539636,3.18733
0.00155894,0.312706,0.540643,3.33411
0.00452079,0.0276351,0.657628,0.882254
0.00177908,0.35039,0.367495,3.33532
0.488237,0.00973611,0.294231,1.52739
0.00374703,0.117599,0.850112,3.14387
0.000876913,0.760942,0.63041,3.33647
0.765061,0.0103337,0.0125436,1.48641
