0,0.722628,0.0586923,0.764964,0.288045,0.686882,0.950281,371.533
1,0.634313,0.0839107,0.417303,0.766301,0.212452,0.864301,250.022
2,0.902748,0.271378,0.557356,0.471905,0.150462,0.82913,201.818
3,0.96027,0.511685,0.700021,0.782883,0.196963,0.64443,81.1609
4,0.96027,0.592147,0.879885,0.849274,0.688652,0.64443,81.1521
5,0.96027,0.592147,0.885054,0.926733,0.688652,0.64443,81.1392
6,0.983495,0.592147,0.885054,0.926733,0.688652,0.675642,81.0323
7,0.983508,0.546038,0.798633,0.904201,0.587051,0.657242,72.2979
8,0.983515,0.549745,0.797714,0.899776,0.57008,0.672017,72.294
9,0.790702,0.913615,0.394653,0.944892,0.275113,0.169207,51.5227
10,0.776763,0.955141,0.312387,0.971429,0.364693,0.169584,51.5149
11,0.794997,0.955141,0.358386,0.975107,0.364693,0.169584,51.4683
12,0.857656,0.987263,0.291696,0.991444,0.281422,0.189068,41.6685
13,0.920582,0.996716,0.22188,0.998179,0.141396,0.1519,34.3597
14,0.920582,0.996716,0.22188,0.998179,0.141396,0.1519,34.3164
15,0.920582,0.996716,0.200061,0.998179,0.265482,0.1519,34.3053
16,0.920172,0.996789,0.242446,0.998378,0.24729,0.151156,34.3008
17,0.920692,-nan,0.243653,0.998388,-nan,-nan,34.266
18,-nan,-nan,-nan,-nan,-nan,-nan,34.1911
