0.515996,0.0103199,0.103199,0.896801,0.00515996,0.0722394,41.3552
0.515996,0.0103199,0.103199,0.896801,0.00515996,0.0722394,41.3552
0.515996,0.0103199,0.103199,0.896801,0.00515996,0.0722394,41.3552
0.515996,0.0103199,0.103199,0.896801,0.00515996,0.0722394,41.3552
0.515996,0.0103199,0.103199,0.896801,0.00515996,0.0722394,41.3552
0.515996,0.0103199,0.103199,0.896801,0.00515996,0.0722394,41.3552
0.515996,0.0103199,0.103199,0.896801,0.00515996,0.0722394,41.3552
0.515996,0.0103199,0.103199,0.896801,0.00515996,0.0722394,41.3552
0.515996,0.0103199,0.103199,0.896801,0.00515996,0.0722394,41.3552
0.515996,0.0103199,0.103199,0.896801,0.00515996,0.0722394,41.3552
0.515996,0.0103199,0.103199,0.896801,0.00515996,0.0722394,41.3552
0.515996,0.0103199,0.103199,0.896801,0.00515996,0.0722394,41.3552
0.515996,0.0103199,0.103199,0.896801,0.00515996,0.0722394,41.3552
0.515996,0.0103199,0.103199,0.896801,0.00515996,0.0722394,41.3552
0.515996,0.0103199,0.103199,0.896801,0.00515996,0.0722394,41.3552
0.515996,0.0103199,0.103199,0.896801,0.00515996,0.0722394,41.3552
0.515996,0.0103199,0.103199,0.896801,0.00515996,0.0722394,41.3552
0.515996,0.0103199,0.103199,0.896801,0.00515996,0.0722394,41.3552
0.515996,0.0103199,0.103199,0.896801,0.00515996,0.0722394,41.3552
0.515996,0.0103199,0.103199,0.896801,0.00515996,0.0722394,41.3552
41.3552,0,0,0,0,0,0
41.3552,0,0,0,0,0,0
41.3552,0,0,0,0,0,0
41.3552,0,0,0,0,0,0
41.3552,0,0,0,0,0,0
41.3552,0,0,0,0,0,0
41.3552,0,0,0,0,0,0
41.3552,0,0,0,0,0,0
41.3552,0,0,0,0,0,0
41.3552,0,0,0,0,0,0
41.3552,0,0,0,0,0,0
41.3552,0,0,0,0,0,0
41.3552,0,0,0,0,0,0
41.3552,0,0,0,0,0,0
41.3552,0,0,0,0,0,0
41.3552,0,0,0,0,0,0
41.3552,0,0,0,0,0,0
41.3552,0,0,0,0,0,0
41.3552,0,0,0,0,0,0
41.3552,0,0,0,0,0,0
