0,0.354878,0.534546,0.688056,0.942368,0.214109,0.540638,7.67993e+06
1,0.29394,0.763492,0.575345,0.276136,0.738243,0.527242,5.23337e+06
2,0.578186,0.723275,0.634952,0.439477,0.392419,0.555183,1.29771e+06
3,0.66952,0.45348,0.850631,0.453573,0.381852,0.770312,979061
4,0.588413,0.47037,0.721522,0.584906,0.271108,0.634684,809040
5,0.596166,0.465574,0.722292,0.59558,0.262975,0.639421,784815
6,0.679179,0.465332,0.733682,0.594923,0.280877,0.651703,756193
7,0.678953,0.438007,0.734813,0.591438,0.290443,0.652055,686349
8,0.702587,0.447423,0.733527,0.584758,0.292465,0.658782,650798
9,0.720389,0.446704,0.736697,0.595851,0.281728,0.659776,616536
10,0.800247,0.336384,0.72279,0.605005,0.284923,0.654351,609928
11,0.794742,0.347282,0.723509,0.604435,0.285594,0.651862,589374
12,0.783461,0.337556,0.728177,0.601104,0.272779,0.659067,562000
13,0.692611,0.191791,0.756544,0.66921,0.409846,0.684206,546813
14,0.748559,0.141837,0.7492,0.627168,0.3081,0.682583,541647
15,0.79209,0.132521,0.749513,0.659203,0.303901,0.678292,540859
16,0.75362,0.150579,0.692178,0.645729,0.311007,0.62742,465199
