2.34208,0.0969796,2.60138,0.141502,2.88522,0.198702
2.3892,0.0973318,2.65438,0.142315,2.94004,0.200306
2.42743,0.0976185,2.69588,0.142955,2.99486,0.201929
2.46993,0.0979381,2.74137,0.143661,3.04968,0.20357
2.51548,0.0982817,2.79412,0.144485,3.10449,0.205232
2.55029,0.0985451,2.84076,0.145219,3.16167,0.206986
2.58894,0.0988383,2.88741,0.145958,3.21885,0.208761
2.63567,0.099194,2.93675,0.146744,3.27603,0.210559
2.67454,0.0994906,2.9861,0.147536,3.33321,0.21238
2.71682,0.0998143,3.03544,0.148333,3.39039,0.214224
2.76176,0.10016,3.08479,0.149136,3.44757,0.216091
2.79883,0.100445,3.13414,0.149944,3.50475,0.217982
2.83832,0.10075,3.17809,0.150668,3.56193,0.219898
2.88328,0.101099,3.22204,0.151397,3.61911,0.221838
2.92455,0.101419,3.27294,0.152247,3.67629,0.223803
2.96582,0.101741,3.32857,0.153182,3.73347,0.225795
3.00709,0.102064,3.36805,0.15385,3.79065,0.227812
3.05001,0.102401,3.41369,0.154628,3.84783,0.229857
3.09294,0.102738,3.47059,0.155604,3.90751,0.232019
3.13586,0.103077,3.51634,0.156394,3.96718,0.234212
3.17395,0.103379,3.56579,0.157254,4.02685,0.236436
3.21204,0.103681,3.61912,0.158189,4.08652,0.238691
3.25597,0.104031,3.666,0.159016,4.1462,0.240979
3.30433,0.104417,3.71287,0.159848,4.20587,0.243299
3.33728,0.104681,3.76462,0.160774,4.26554,0.245653
3.37622,0.104994,3.81897,0.161754,4.32522,0.248041
3.42681,0.105402,3.86276,0.162549,4.38489,0.250464
3.46393,0.105702,3.91,0.163412,4.44456,0.252922
3.50728,0.106054,3.9648,0.164421,4.50423,0.255418
3.5569,0.106458,4.0142,0.165337,4.56391,0.25795
3.59041,0.106731,4.06529,0.166291,4.62563,0.26061
3.63021,0.107057,4.11637,0.167252,4.68736,0.263311
3.68137,0.107477,4.16746,0.168221,4.74909,0.266055
3.71927,0.107789,4.21854,0.169196,4.81082,0.268842
3.7621,0.108143,4.26963,0.17018,4.87255,0.271674
3.81062,0.108546,4.32071,0.17117,4.93428,0.274552
3.84726,0.10885,4.37179,0.172168,4.99601,0.277476
3.88821,0.109192,4.42288,0.173173,5.05774,0.280448
3.93685,0.109599,4.47396,0.174187,5.11946,0.283468
3.97713,0.109937,4.52505,0.175207,5.18119,0.286539
