0,0.651618,0.343522,0.936162,0.118488,0.683308,0.761401,895.263
1,0.880363,0.327399,0.244302,0.267319,0.294578,0.840859,340.501
2,0.742487,0.0465939,0.623376,0.534061,0.294094,0.648616,225.64
3,0.778796,0.381127,0.628002,0.76404,0.794293,0.357574,134.533
4,0.435509,0.12357,0.713829,0.577304,0.416973,0.240486,127.355
5,0.578803,0.323209,0.501138,0.648123,0.416973,0.29056,126.745
6,0.668568,0.0737775,0.814992,0.647846,0.256062,0.489906,108.965
7,0.692916,0.119436,0.493311,0.491301,0.192782,0.315747,42.9514
8,0.689682,0.062676,0.381477,0.748596,0.0668652,0.295974,42.333
9,0.786186,0.201925,0.227565,0.576286,0.178363,0.165202,37.1845
10,0.786186,0.289602,0.206797,0.357235,0.166874,0.0969014,37.1551
11,0.786186,0.289602,0.0775554,0.42544,0.166874,0.0969014,37.1006
12,0.791701,0.332389,0.10088,0.457492,0.177221,0.104067,37.0959
13,0.791701,0.332389,0.10088,0.457492,0.177221,0.104067,37.0573
14,-nan,-nan,-nan,-nan,-nan,-nan,-2.00448e+16
15,-nan,-nan,-nan,-nan,-nan,-nan,-2.00538e+16
16,-nan,-nan,-nan,-nan,-nan,-nan,-2.00691e+16
17,-nan,-nan,-nan,-nan,-nan,-nan,-2.00787e+16
18,-nan,-nan,-nan,-nan,-nan,-nan,-2.00947e+16
