0.0495273,-nan
0.0670293,-nan
0.0403759,1.39017e+09
0.0550948,2.17536e+09
0.0737426,4.32509e+09
0.0439954,1.6044e+09
0.0799788,1.34685e+09
0.0518884,1.25774e+09
0.0686839,2.4154e+09
0.0320127,3.40415e+09
0.0501381,2.52856e+09
0.0441858,1.22112e+09
0.0470722,1.63062e+09
0.0591742,1.97473e+09
0.0631051,3.23354e+09
0.0386125,-nan
0.014591,1.61098e+09
0.0597655,3.9373e+09
0.0212542,4.27062e+09
0.0355136,1.93197e+09
0.0491546,2.24112e+09
0.044519,3.02549e+09
0.0432711,-nan
0.0521565,-nan
0.0426896,-nan
0.0480532,2.73299e+09
0.0505598,2.56662e+09
0.0522351,1.36395e+09
0.0609534,2.82562e+09
0.041536,1.43441e+09
0.0669839,6.13755e+09
0.0841121,1.16525e+09
0.0671667,1.15424e+09
0.0655116,2.43241e+09
0.045372,3.5287e+09
0.0491774,4.25486e+09
0.0450981,1.74757e+09
0.0544935,1.45289e+09
0.0415838,3.91059e+09
0.0289825,2.0879e+09
0.038652,2.50955e+09
